Date,Open,High,Low,Close,Adj Close,Volume
3/9/2017,137.720001,138.570007,137.399994,138.240005,138.240005,15535300
3/10/2017,138.910004,139.490005,138.220001,138.789993,138.789993,16314100
3/13/2017,138.710007,139.679993,138.669998,139.600006,139.600006,10955500
3/14/2017,139.460007,139.460007,138.520004,139.320007,139.320007,12944000
3/15/2017,139.289993,140.100006,138.490005,139.720001,139.720001,19344800
3/16/2017,140.199997,140.25,139.729996,139.990005,139.990005,13612900
3/17/2017,140.339996,140.339996,139.699997,139.839996,139.839996,20592800
3/20/2017,139.710007,140.190002,139.25,139.940002,139.940002,12099500
3/21/2017,141.149994,142.309998,138.399994,138.509995,138.509995,29894800
3/22/2017,137.929993,139.789993,137.600006,139.589996,139.589996,17055400
3/23/2017,139.479996,140.389999,139.089996,139.529999,139.529999,13022800
3/24/2017,140.080002,141.020004,139.759995,140.339996,140.339996,16664700
3/27/2017,139.050003,140.649994,138.770004,140.320007,140.320007,12800500
3/28/2017,140.360001,141.949997,140.009995,141.759995,141.759995,14679400
3/29/2017,141.990005,142.860001,141.429993,142.649994,142.649994,16527600
3/30/2017,142.399994,142.949997,141.850006,142.410004,142.410004,12404000
3/31/2017,142.309998,142.630005,141.889999,142.050003,142.050003,11478300
4/3/2017,141.929993,142.470001,140.820007,142.279999,142.279999,13564000
4/4/2017,141.860001,142.089996,141.270004,141.729996,141.729996,12948600
4/5/2017,142.259995,143.440002,141.289993,141.850006,141.850006,17158100
4/6/2017,142.110001,142.220001,140.910004,141.169998,141.169998,15103400
4/7/2017,141.199997,141.550003,140.240005,140.779999,140.779999,11818300
4/10/2017,141,141.429993,140.630005,141.039993,141.039993,9039400
4/11/2017,140.800003,141.029999,138.809998,139.919998,139.919998,16638100
4/12/2017,139.720001,140.399994,139.440002,139.580002,139.580002,11612500
4/13/2017,139.619995,140.580002,139.330002,139.389999,139.389999,10965600
4/17/2017,139.759995,141.550003,139.75,141.419998,141.419998,11519700
4/18/2017,141.270004,141.910004,140.610001,140.960007,140.960007,14807500
4/19/2017,141.350006,143.039993,141.270004,142.270004,142.270004,15563900
4/20/2017,142.949997,144.25,142.690002,143.800003,143.800003,15968200
4/21/2017,143.899994,144.169998,142.270004,143.679993,143.679993,12382000
4/24/2017,144.960007,145.669998,144.339996,145.470001,145.470001,14407200
4/25/2017,145.789993,147.149994,145.789993,146.490005,146.490005,17767500
4/26/2017,147.089996,147.589996,146.089996,146.559998,146.559998,12395000
4/27/2017,146.669998,147.75,146.139999,147.699997,147.699997,11275100
4/28/2017,149.5,151.529999,149.070007,150.25,150.25,30652200
5/1/2017,151.740005,152.570007,151.419998,152.460007,152.460007,25218300
5/2/2017,153.339996,153.440002,151.660004,152.779999,152.779999,21870400
5/3/2017,153.600006,153.600006,151.339996,151.800003,151.800003,29782500
5/4/2017,150.169998,151.520004,148.720001,150.850006,150.850006,36225500
5/5/2017,151.449997,151.630005,149.789993,150.240005,150.240005,17148500
5/8/2017,150.710007,151.080002,149.740005,151.059998,151.059998,15827500
5/9/2017,151.490005,152.589996,150.210007,150.479996,150.479996,17453900
5/10/2017,150.229996,150.520004,148.860001,150.289993,150.289993,12080700
5/11/2017,150.309998,150.649994,149.410004,150.039993,150.039993,11841900
5/12/2017,150.399994,150.460007,149.630005,150.330002,150.330002,9598200
5/15/2017,150.169998,151.479996,149.770004,150.190002,150.190002,15064700
5/16/2017,150.110001,150.210007,149.029999,149.779999,149.779999,14550800
5/17/2017,148,148.669998,144.419998,144.850006,144.850006,28300100
5/18/2017,144.720001,148.149994,144.509995,147.660004,147.660004,23031600
5/19/2017,148.449997,149.389999,147.960007,148.059998,148.059998,16187900
5/22/2017,148.080002,148.589996,147.690002,148.240005,148.240005,12586700
5/23/2017,148.520004,148.809998,147.25,148.070007,148.070007,12817800
5/24/2017,148.509995,150.229996,148.419998,150.039993,150.039993,17862400
5/25/2017,150.300003,152.589996,149.949997,151.960007,151.960007,19891400
5/26/2017,152.229996,152.25,151.149994,152.130005,152.130005,14996200
5/30/2017,151.970001,152.899994,151.639999,152.380005,152.380005,13226000
5/31/2017,152.699997,153.350006,151.089996,151.460007,151.460007,18023900
6/1/2017,151.75,152.289993,150.300003,151.529999,151.529999,14530600
6/2/2017,151.850006,153.630005,151.300003,153.610001,153.610001,16854400
6/5/2017,153.639999,154.710007,153.410004,153.630005,153.630005,12520400
6/6/2017,153.410004,154.520004,152.479996,152.809998,152.809998,13457100
6/7/2017,153.270004,153.75,152.339996,153.119995,153.119995,12066700
6/8/2017,154.080002,154.729996,153.100006,154.710007,154.710007,17799400
6/9/2017,154.770004,155.589996,146.610001,149.600006,149.600006,35577700
6/12/2017,148.169998,149.199997,144.559998,148.440002,148.440002,33170200
6/13/2017,150.149994,151.179993,148.899994,150.679993,150.679993,20483400
6/14/2017,151.259995,152.399994,149.050003,150.25,150.25,20808800
6/15/2017,147.669998,150.039993,146.369995,149.800003,149.800003,18994200
6/16/2017,149.589996,150.830002,148.600006,150.639999,150.639999,22882400
6/19/2017,151.710007,153.570007,151.710007,152.869995,152.869995,19026500
6/20/2017,152.880005,153.839996,152.210007,152.25,152.25,14743900
6/21/2017,152.360001,154.080002,151.880005,153.910004,153.910004,15039800
6/22/2017,153.009995,154.550003,152.910004,153.399994,153.399994,13005500
6/23/2017,152.720001,155.199997,152.649994,155.070007,155.070007,18027000
6/26/2017,156.25,156.5,153.199997,153.589996,153.589996,18049700
6/27/2017,152.839996,153.309998,150.389999,150.580002,150.580002,19360800
6/28/2017,150.919998,153.470001,149.860001,153.240005,153.240005,16719100
6/29/2017,152.279999,152.5,148.919998,151.039993,151.039993,23973500
6/30/2017,151.899994,151.919998,150.059998,150.979996,150.979996,17666000
7/3/2017,151.720001,152.149994,147.800003,148.429993,148.429993,13862700
7/5/2017,149,150.850006,148.130005,150.339996,150.339996,14334300
7/6/2017,149.029999,150.039993,148,148.820007,148.820007,14951800
7/7/2017,149.25,151.990005,149.190002,151.440002,151.440002,13615900
7/10/2017,151.690002,153.979996,151.509995,153.5,153.5,13378700
7/11/2017,153.369995,155.419998,152.910004,155.270004,155.270004,13667700
