Date,Open,High,Low,Close,Adj Close,Volume
1/2/2017,35980,36240,35880,36100,7630.10791,4650600
1/3/2017,36280,36620,36020,36480,7710.425293,7357650
1/4/2017,36500,36520,36100,36160,7642.790527,7971750
1/5/2017,36060,36060,35540,35560,7515.973145,10967450
1/6/2017,36180,36440,36040,36200,7651.245117,8880950
1/9/2017,36600,37500,36560,37220,7866.832031,13194900
1/10/2017,37280,37400,37080,37240,7871.05957,9099800
1/11/2017,37520,38560,37420,38280,8090.874512,12018150
1/12/2017,38000,38800,37980,38800,8200.782227,11669150
1/13/2017,38100,38320,37460,37460,7917.558105,15954450
1/16/2017,36860,37820,36320,36660,7748.470215,16611500
1/17/2017,36580,37460,36580,36960,7811.878418,8150700
1/18/2017,37040,37500,36620,36940,7807.651367,8875400
1/19/2017,37720,37920,37020,37480,7921.786133,9418900
1/20/2017,37120,37420,36880,37200,7862.604004,9185000
1/23/2017,37200,38060,37000,38060,8044.374512,8810400
1/24/2017,38120,38580,37880,38160,8065.510742,11048750
1/25/2017,38340,39400,38320,39400,8327.597656,13433850
1/26/2017,39420,40000,39420,39900,8433.277344,15214500
1/31/2017,39900,39900,39460,39460,8340.279297,17992200
2/1/2017,39540,39660,39040,39120,8268.416992,14150400
2/2/2017,39600,39660,39200,39360,8319.143555,15029300
2/3/2017,39400,39500,39180,39460,8340.279297,10386350
2/6/2017,39580,39660,39140,39560,8361.416016,8860700
2/7/2017,39560,39580,38760,38820,8205.007813,14041800
2/8/2017,38740,38780,38200,38400,8116.237305,17092950
2/9/2017,38780,38840,38220,38400,8116.237305,13694150
2/10/2017,38400,38760,38300,38360,8107.782715,11020750
2/13/2017,37740,38060,37720,37960,8023.23877,11102050
2/14/2017,37960,38260,37320,37580,7942.922363,13124150
2/15/2017,37080,37960,37080,37720,7972.512207,14191550
2/16/2017,37800,38360,37780,38020,8035.92041,10226350
2/17/2017,37560,38040,37280,37860,8002.103027,15377450
2/20/2017,38220,38780,38160,38660,8171.19043,7485800
2/21/2017,38540,39560,38420,38940,8230.370117,10562600
2/22/2017,39000,39340,38980,39300,8306.460938,8539450
2/23/2017,39020,39440,39020,39180,8281.098633,10217300
2/24/2017,38960,39100,38060,38220,8078.191406,9296850
2/27/2017,38020,38140,37700,38060,8044.374512,9033700
2/28/2017,38060,38760,37960,38440,8124.691895,15088700
3/2/2017,38420,39860,38420,39720,8395.233398,21249800
3/3/2017,39340,39720,39160,39620,8374.09668,12708700
3/6/2017,39220,40220,39220,40080,8471.323242,12234850
3/7/2017,39800,40320,39800,40200,8496.686523,10553250
3/8/2017,40200,40620,40140,40200,8496.686523,12140950
3/9/2017,40200,40300,40020,40200,8496.686523,14372250
